"Time (s)"	"Sound pressure level (dB)"
1.756017751E2	-6.992026629E1
1.757094366E2	-6.813055552E1
1.758169527E2	-6.759281069E1
1.759203965E2	-6.925138749E1
1.760452409E2	-6.958621233E1
1.761531633E2	-6.933866857E1
1.762644261E2	-6.971186793E1
1.763778626E2	-6.832278611E1
1.764857424E2	-6.779338585E1
1.765928530E2	-6.799286235E1
1.767023510E2	-6.902170004E1
1.768132664E2	-6.945205189E1
1.769200788E2	-7.010056129E1
1.770320850E2	-7.010822070E1
1.771426524E2	-6.940388710E1
1.772538807E2	-7.087150525E1
1.773595912E2	-7.053209102E1
1.774687661E2	-6.804423706E1
1.775775511E2	-7.063047205E1
1.776858818E2	-6.994243209E1
1.777928691E2	-7.059145814E1
1.779048101E2	-6.945470867E1
1.780134897E2	-6.847580836E1
1.781223563E2	-6.922516528E1
1.782287177E2	-7.127492212E1
1.783332114E2	-7.105150385E1
1.784508908E2	-7.047713242E1
1.785594940E2	-6.969387882E1
1.786666191E2	-6.967606162E1
1.787702578E2	-6.879180052E1
1.788828079E2	-7.109385549E1
1.789940913E2	-7.074466201E1
1.791064320E2	-6.990576200E1
1.792177741E2	-7.004187662E1
1.793264280E2	-6.768041549E1
1.794362870E2	-6.969926198E1
1.795428796E2	-6.953482157E1
1.796465788E2	-6.817834479E1
1.797578944E2	-7.038976314E1
1.798683968E2	-6.962597299E1
1.799894625E2	-6.906016207E1
1.800969780E2	-6.812447251E1
1.802082120E2	-6.835772495E1
1.803222499E2	-7.022474335E1
1.804264765E2	-7.037545937E1
1.805365785E2	-6.994972759E1
1.806430874E2	-7.024923739E1
1.807550052E2	-6.878117027E1
1.808596914E2	-6.900958043E1
1.809665663E2	-6.799689893E1
1.810765150E2	-6.784895127E1
1.811882518E2	-6.931514900E1
1.813097792E2	-7.026721723E1
1.814205832E2	-7.026144526E1
1.815263982E2	-7.003800248E1
1.816377774E2	-6.932036047E1
1.817431252E2	-6.716131839E1
1.818548821E2	-6.793300030E1
1.819598818E2	NaN
1.820661304E2	-6.586584439E1
1.821765607E2	-6.747236878E1
1.822865856E2	-7.108349838E1
1.823932633E2	-6.852564896E1
1.825055604E2	-6.877456547E1
1.826173110E2	-7.157732711E1
1.827287911E2	-7.182478025E1
1.828384362E2	-7.155950939E1
1.829476035E2	-7.041083884E1
1.830535050E2	-6.577215293E1
1.831673027E2	-7.049044441E1
1.832766131E2	-7.012225646E1
1.833885373E2	-6.874412587E1
1.835099259E2	-6.908048047E1
1.836195080E2	-6.934075358E1
1.837293138E2	-7.024107647E1
1.838397480E2	-6.907989539E1
1.839437566E2	-7.064808828E1
1.840477553E2	-7.028312408E1
1.841649767E2	-6.977154292E1
1.842779133E2	-7.046684035E1
1.843900288E2	-6.858317698E1
1.844980504E2	-6.985510064E1
1.846097807E2	-6.928004245E1
1.847228998E2	-6.846478043E1
1.848434333E2	-6.976509343E1
1.849558065E2	-6.988719585E1
1.850629644E2	-7.055163388E1
1.851717553E2	-6.851136314E1
1.852813650E2	-6.877708698E1
1.853894612E2	-6.794539973E1
1.854973452E2	-6.883660849E1
1.856085487E2	-6.773669263E1
1.857207903E2	-6.565451070E1
1.858268764E2	-6.484450727E1
1.859374494E2	-6.734112254E1
1.860449798E2	-6.709459646E1
1.861516926E2	-6.618093426E1
1.862604917E2	-5.604029801E1
1.863672563E2	-6.507955434E1
1.864777727E2	-6.655663099E1
1.865886412E2	-6.449767988E1
1.866961952E2	-6.962142229E1
1.868040646E2	-6.739945232E1
1.869128627E2	-5.866297303E1
1.870210637E2	-6.855624167E1
1.871347802E2	-6.892994312E1
1.872435374E2	-6.924163805E1
1.873475421E2	-7.086058903E1
1.874501109E2	-6.451720195E1
1.875690930E2	-6.618491446E1
1.876719845E2	-5.463178909E1
1.877925621E2	-6.158751841E1
1.878982887E2	-6.991596501E1
1.880023205E2	-6.625477477E1
1.881229853E2	-7.083155951E1
1.882320469E2	-7.105584107E1
1.883435955E2	-6.994287308E1
1.884556028E2	-7.130732204E1
1.885601330E2	-7.139644219E1
1.886707071E2	-7.140148334E1
1.887815639E2	-7.115005275E1
1.888924692E2	-7.161346924E1
1.890053818E2	-7.006132336E1
1.891100703E2	-7.164439981E1
1.892163392E2	-7.300899245E1
1.893191150E2	-7.074780805E1
1.894373375E2	-6.916409539E1
1.895481164E2	-6.667435315E1
1.896564663E2	-6.805192783E1
1.897595557E2	-6.772522538E1
1.898723421E2	-6.821750251E1
1.899836442E2	-6.895934889E1
1.901065362E2	-6.968764157E1
1.902100950E2	-7.143835034E1
1.903152425E2	-7.263519427E1
1.904261074E2	-7.077832212E1
1.905435736E2	-7.000651843E1
1.906677735E2	-7.222910812E1
1.907771440E2	-7.097414522E1
1.908872119E2	-7.128299204E1
1.909989322E2	-7.102009246E1
1.911103933E2	-7.300244824E1
1.912165804E2	-7.064836431E1
1.913269868E2	-7.112293931E1
1.914375735E2	-7.115003575E1
1.915503408E2	-6.998406905E1
1.916604345E2	-7.158280340E1
1.917723449E2	-7.180616903E1
1.918789601E2	-7.116270587E1
1.919899095E2	-7.222169480E1
1.920969215E2	-7.354784839E1
1.922065816E2	-7.082264720E1
1.923177553E2	-6.831218277E1
1.924272756E2	-6.990827541E1
1.925358643E2	-7.131882992E1
1.926438309E2	-7.100616220E1
1.927521494E2	-6.901793986E1
1.928771163E2	-7.007368619E1
1.929884404E2	-7.000600001E1
1.930976241E2	-7.086812212E1
1.932069803E2	-6.948628415E1
1.933177175E2	-7.020783548E1
1.934317960E2	-6.974245579E1
1.935441614E2	-6.918788265E1
1.936470681E2	-6.815268827E1
1.937574954E2	-6.818744539E1
1.938654605E2	-6.820683563E1
1.939765842E2	-6.906848071E1
1.940865908E2	-6.976590609E1
1.941960386E2	-7.009484805E1
1.943068991E2	-7.094180408E1
1.944104670E2	-7.034728308E1
1.945212646E2	-7.063521235E1
1.946324823E2	-6.895764714E1
1.947466005E2	-7.105486219E1
1.948565659E2	-7.152740050E1
1.949680497E2	-7.051173225E1
1.950815808E2	-6.995700866E1
1.951884772E2	-6.902033469E1
1.952991752E2	-6.920365173E1
1.954106946E2	-7.033045928E1
1.955225683E2	-7.053021025E1
1.956272712E2	-7.103794401E1
1.957368070E2	-7.079683884E1
1.958457969E2	-6.994038501E1
1.959492204E2	-7.034026765E1
1.960680323E2	-6.669812596E1
1.961788360E2	-6.539116236E1
1.962902508E2	-6.162647859E1
1.963992798E2	-6.450259394E1
1.965106644E2	-6.596238940E1
1.966151332E2	-5.592340726E1
1.967235726E2	-6.534402498E1
1.968327478E2	-6.559802854E1
1.969466387E2	-6.635458340E1
1.970565812E2	-6.797394318E1
1.971665778E2	-6.762586580E1
1.972774752E2	-6.855766852E1
1.973831089E2	-6.937962806E1
1.974941644E2	-6.802551689E1
1.976064730E2	-6.353731169E1
1.977159203E2	-6.669861332E1
1.978236236E2	-6.507999908E1
1.979275969E2	-6.939098022E1
1.980395919E2	-7.005522845E1
1.981442500E2	-6.578254856E1
1.982565014E2	-7.062518455E1
1.983759018E2	-7.003046276E1
1.984878428E2	-6.903242026E1
1.985960927E2	-7.076727057E1
1.987059575E2	-7.056532744E1
1.988109174E2	-6.935061607E1
1.989199420E2	-7.034464028E1
1.990233728E2	-7.058105687E1
1.991440471E2	-7.017408092E1
1.992551790E2	-6.886042759E1
1.993608861E2	-6.934326510E1
1.994670776E2	-6.905488508E1
1.995717623E2	-7.076238856E1
1.996842491E2	-7.102540056E1
1.998069811E2	-7.066851934E1
1.999181336E2	-7.244555191E1
2.000275333E2	-7.092709058E1
2.001379655E2	-7.065262771E1
2.002447705E2	-7.009552259E1
2.003525598E2	-7.050208640E1
2.004556468E2	NaN
2.005749323E2	-6.712935524E1
2.006840224E2	-6.631166508E1
2.007952800E2	-6.757706635E1
2.009070776E2	-6.726195045E1
2.010108635E2	-6.859773117E1
2.011172104E2	-6.855826961E1
2.012277138E2	-6.816021289E1
2.013377295E2	-6.996309729E1
2.014494875E2	-6.910400433E1
2.015610936E2	-6.908486333E1
2.016703274E2	-6.795672980E1
2.017788594E2	-6.784071538E1
2.018906541E2	-6.913409880E1
2.019943252E2	-6.744797326E1
2.021013277E2	-6.379480252E1
2.022109331E2	-6.157221491E1
2.023167905E2	-6.879857508E1
2.024279760E2	-6.914452505E1
2.025365828E2	-6.910290702E1
2.026444873E2	-7.072832453E1
2.027570110E2	-6.455489111E1
2.028779137E2	-6.953334688E1
2.029865969E2	-6.805920649E1
2.030960172E2	-6.763951557E1
2.032072671E2	-6.761959174E1
2.033185820E2	-6.674904708E1
2.034279763E2	-6.568220673E1
2.035399182E2	-3.774577638E1
2.036444109E2	-6.938738504E1
2.037473456E2	-6.996749887E1
2.038577809E2	-5.786490883E1
2.039672745E2	-7.010161695E1
2.040779385E2	-7.026336919E1
2.041856213E2	-7.051486420E1
2.042957203E2	-7.067931812E1
2.044061465E2	-7.113147755E1
2.045113017E2	-6.974369393E1
2.046175581E2	-7.002069594E1
2.047279776E2	-6.949295221E1
2.048402535E2	-7.105506885E1
2.049446758E2	-6.983966513E1
2.050506411E2	-6.802687010E1
2.051613362E2	-6.887745235E1
2.052662655E2	-6.912740010E1
2.053772035E2	-6.795750035E1
2.054865144E2	-7.181454089E1
2.055945775E2	-6.832355221E1
2.056984227E2	-6.935595471E1
2.058165808E2	-6.960568645E1
2.059280747E2	-7.030368978E1
2.060471460E2	-7.040339798E1
2.061582584E2	-6.696708980E1
2.062664917E2	-6.945457043E1
2.063765818E2	-6.928347392E1
2.064899280E2	-6.684293103E1
2.065945708E2	-6.741600315E1
2.067020748E2	-6.979793109E1
2.068114306E2	-6.925208790E1
2.069223603E2	-6.719256585E1
2.070280072E2	-7.128837780E1
2.071383335E2	-6.886109883E1
2.072445803E2	-7.135482812E1
2.073530423E2	-7.017676500E1
2.074566341E2	-7.032403640E1
2.075741944E2	-6.857746776E1
2.076825818E2	-6.969329431E1
2.077939789E2	-7.242699927E1
2.079004516E2	-6.842134499E1
2.080115048E2	-7.095676883E1
2.081174236E2	-7.012583862E1
2.082286296E2	-7.128974264E1
2.083364953E2	-7.012168760E1
2.084447602E2	-7.099497238E1
2.085546082E2	-6.903846206E1
2.086615812E2	-7.031282336E1
2.087665609E2	-6.893520677E1
