"Time (s)"	"Sound pressure level (dB)"
6.046717467E1	-4.524571418E1
6.057084233E1	-4.474819461E1
6.067848063E1	-4.472561768E1
6.078773471E1	-4.495797311E1
6.089485946E1	-4.470849231E1
6.100639454E1	-4.540970600E1
6.111784842E1	-4.568118953E1
6.122773038E1	-4.561391771E1
6.133776471E1	-4.522876888E1
6.144479521E1	-4.531760627E1
6.155434554E1	-4.279034758E1
6.167389146E1	-4.349527892E1
6.179611092E1	-4.212829758E1
6.190442825E1	-4.134367654E1
6.201389558E1	-4.192485068E1
6.213584583E1	-4.404641770E1
6.224594517E1	-4.583246668E1
6.235591346E1	-4.475675780E1
6.246398700E1	-4.433825274E1
6.257298642E1	-4.557331997E1
6.268642787E1	-4.431708581E1
6.279916375E1	-4.677854269E1
6.290499717E1	-4.699304085E1
6.301770208E1	-4.476080435E1
6.312551371E1	-4.375656044E1
6.323668017E1	-4.382576364E1
6.334517042E1	-4.401638415E1
6.345455225E1	-4.576379669E1
6.356384263E1	-4.450297782E1
6.366638087E1	-4.435702016E1
6.378404687E1	-4.457460903E1
6.389575442E1	-4.249874869E1
6.400463200E1	-4.369818733E1
6.411479742E1	-4.303000097E1
6.422322088E1	-4.433544539E1
6.432689621E1	-4.369999868E1
6.444411808E1	-4.433996813E1
6.455466829E1	-4.278013926E1
6.466432412E1	-4.419990066E1
6.477425158E1	-4.474973820E1
6.487749554E1	-4.475863846E1
6.498863975E1	-4.595716498E1
6.511250000E1	-4.707890336E1
6.522128504E1	-4.650959260E1
6.533394954E1	-4.587578234E1
6.543783521E1	-4.906028826E1
6.554588108E1	-4.713827306E1
6.565004171E1	-4.850224846E1
6.577017071E1	-4.811907836E1
6.588303292E1	-4.778804650E1
6.598871533E1	-4.785911272E1
6.609237213E1	-4.718228967E1
6.621738371E1	-4.496459917E1
6.632143812E1	-4.301201588E1
6.642669575E1	-4.341492648E1
6.653001625E1	-4.290403762E1
6.665082425E1	-4.418102268E1
6.675960708E1	-4.667483759E1
6.687136692E1	-4.678904472E1
6.698369729E1	-4.529449769E1
6.709608858E1	-4.571244173E1
6.720473033E1	-4.737919243E1
6.731308300E1	-4.921673847E1
6.742143042E1	-5.043632374E1
6.753349450E1	-4.883117549E1
6.763968300E1	-4.754663791E1
6.775082058E1	-4.841407666E1
6.785493400E1	-4.710125018E1
6.796430092E1	-4.822690329E1
6.807782996E1	-5.044792754E1
6.818889446E1	-4.761863080E1
6.830093067E1	-4.573320164E1
6.840491404E1	-4.268413914E1
6.850774267E1	-4.273981648E1
6.861909554E1	-4.303699451E1
6.872797871E1	-4.440730284E1
6.883923842E1	-4.243626083E1
6.894548842E1	-4.420326063E1
6.905483846E1	-4.490358004E1
6.916483946E1	-4.422396431E1
6.927527412E1	-4.428506124E1
6.938694117E1	-4.459091266E1
6.949888892E1	-4.421251316E1
6.961124037E1	-4.528430625E1
6.973392512E1	-4.477795704E1
6.984448171E1	-4.484843230E1
6.995510812E1	-4.781271754E1
7.006512462E1	-4.750469762E1
7.018669450E1	-4.761056707E1
7.029981783E1	-4.631901678E1
7.042360350E1	-4.628995483E1
7.053447479E1	-4.591340855E1
7.064795779E1	-4.629618888E1
7.076914358E1	-4.446451589E1
7.087512667E1	-4.529000777E1
7.098555296E1	-4.720295821E1
7.109577333E1	-4.653194132E1
7.120601179E1	-4.725005660E1
7.131459642E1	-4.765200555E1
7.142147204E1	-4.794736502E1
7.152743900E1	-4.684129914E1
7.163829104E1	-4.756787414E1
7.174589162E1	-4.904102030E1
7.185003971E1	-4.859432743E1
7.196844063E1	-4.686814131E1
7.207551008E1	-4.759859064E1
7.218668858E1	-4.659969411E1
7.229499596E1	-4.450056967E1
7.240500221E1	-4.586164841E1
7.251490454E1	-4.634371694E1
7.262694675E1	-4.749998515E1
7.273848379E1	-4.606761069E1
7.285121554E1	-4.726939391E1
7.297598721E1	-4.419836965E1
7.308747350E1	-4.365847209E1
7.319422950E1	-4.511528638E1
7.330507371E1	-4.312822917E1
7.341456283E1	-4.086397006E1
7.352568762E1	-4.234901225E1
7.364691617E1	-4.094409582E1
7.375504458E1	-4.197834421E1
7.386783121E1	-4.275598358E1
7.397532675E1	-4.223128630E1
7.408648850E1	-4.296238687E1
7.419059479E1	-4.488914539E1
7.429380008E1	-4.396883525E1
7.440199233E1	-4.423118103E1
7.451156892E1	-4.299475877E1
7.462311521E1	-4.342086257E1
7.474632429E1	-4.289110106E1
7.485529167E1	-4.252476609E1
7.496486879E1	-4.346881438E1
7.507450237E1	-4.629829406E1
7.518510446E1	-4.684649027E1
7.528873767E1	-4.677803758E1
7.539932692E1	-4.932866772E1
7.550996229E1	-4.781238774E1
7.561805542E1	-4.730829092E1
7.572548842E1	-4.616388863E1
7.583550950E1	-4.657986893E1
7.594593787E1	-4.596830051E1
7.605528483E1	-4.918176582E1
7.616473146E1	-4.981521235E1
7.627190312E1	-4.775151488E1
7.639524492E1	-4.571826677E1
7.649775071E1	-4.530572453E1
7.661837979E1	-4.490165603E1
7.672292971E1	-4.510583205E1
7.682576704E1	-4.650197612E1
7.694678521E1	-4.556968350E1
7.705534142E1	-4.605738686E1
7.716484375E1	-4.131334561E1
7.727191612E1	-4.323842950E1
7.738254512E1	-4.451893824E1
7.749016038E1	-4.406380632E1
7.760145012E1	-4.561388463E1
7.771055350E1	-4.228335224E1
7.782211396E1	-4.216889292E1
7.793407954E1	-4.285018314E1
7.803882917E1	-4.320490547E1
7.815075863E1	-4.249258813E1
7.827667417E1	-4.383865233E1
7.838515908E1	-4.411234967E1
