"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.490732083E0	8.926254348E-3	2.758058533E-4	-1.586858314E-1	1.589369283E-1
2.500772083E0	-9.373063850E-4	-1.541435681E-3	-1.565901893E-1	1.566005810E-1
2.510812083E0	-1.520075072E-3	-1.982347718E-3	-1.642254835E-1	1.642444817E-1
2.520853083E0	8.394673923E-3	4.165748293E-3	-1.622789454E-1	1.625493160E-1
2.530893083E0	-2.305036364E-4	1.018442898E-2	-1.594354445E-1	1.597605605E-1
2.540933083E0	-7.165739941E-3	1.812042994E-3	-1.574894911E-1	1.576628401E-1
2.550943083E0	8.339637006E-4	-2.974935416E-3	-1.570410097E-1	1.570713992E-1
2.560983083E0	-1.233335382E-3	-4.255726892E-3	-1.622801149E-1	1.623405926E-1
2.571024083E0	-5.553425043E-3	-4.296552334E-3	-1.512019801E-1	1.513649222E-1
2.581064083E0	-1.055728262E-2	-1.123432852E-3	-1.571895289E-1	1.575476637E-1
2.591104083E0	-1.682901755E-3	-3.303124099E-3	-1.630279738E-1	1.630701169E-1
2.601114083E0	-4.179005027E-3	-1.327624018E-3	-1.588366896E-1	1.588972015E-1
2.611154083E0	7.276677154E-4	6.021015001E-3	-1.646745497E-1	1.647861931E-1
2.621194083E0	-2.740601397E-3	1.362350998E-3	-1.600347841E-1	1.600640466E-1
2.631235083E0	-2.269222168E-3	-1.160023632E-3	-1.606335390E-1	1.606537546E-1
2.641275083E0	5.452896331E-3	-5.069398927E-4	-1.660223329E-1	1.661126307E-1
2.651285083E0	-1.828214200E-3	2.222969779E-3	-1.652744740E-1	1.652995334E-1
2.661325083E0	-7.169572609E-3	-1.461356236E-3	-1.589863783E-1	1.591546632E-1
2.671365083E0	5.205253044E-3	4.092776868E-3	-1.577894533E-1	1.579283288E-1
2.681406083E0	-1.434310579E-3	-4.851877936E-3	-1.521018666E-1	1.521859908E-1
2.691446083E0	-1.762289128E-3	-4.622794990E-3	-1.531491029E-1	1.532289908E-1
2.701486083E0	-1.173659293E-2	-2.305333293E-3	-1.444665724E-1	1.449608662E-1
2.711496083E0	-5.115123696E-3	-2.201910666E-3	-1.541951698E-1	1.542957008E-1
2.721536083E0	-1.371158594E-2	-4.768737839E-3	-1.556926417E-1	1.563679863E-1
2.731577083E0	-1.011922567E-2	-1.800590674E-3	-1.585361427E-1	1.588689693E-1
2.741617083E0	-9.303125669E-4	3.331122212E-3	-1.582373500E-1	1.582751427E-1
2.751657083E0	-5.937947994E-3	4.481219281E-3	-1.633261818E-1	1.634955113E-1
2.761667083E0	-3.140980352E-3	1.023980394E-2	-1.627268422E-1	1.630789517E-1
2.771707083E0	2.042944059E-3	1.284199763E-2	-1.553920949E-1	1.559352227E-1
2.781747083E0	-2.305018092E-3	-2.551752320E-3	-1.532970375E-1	1.533356001E-1
2.791788083E0	-6.589014900E-3	5.476086480E-3	-1.594336903E-1	1.596637224E-1
2.801828083E0	-9.076169191E-3	-2.389958035E-3	-1.621280873E-1	1.623995241E-1
2.811838083E0	9.565270508E-3	-3.635186562E-4	-1.624268800E-1	1.627086903E-1
2.821878083E0	2.303391835E-3	2.406083560E-3	-1.523971510E-1	1.524335478E-1
2.831918083E0	-1.697382750E-2	9.452343872E-4	-1.497021693E-1	1.506643414E-1
2.841959083E0	-1.754563951E-2	-1.068701087E-2	-1.531444252E-1	1.545162665E-1
2.851999083E0	-6.538361111E-3	-8.700254895E-3	-1.516463685E-1	1.520363959E-1
2.862039083E0	-4.397387111E-3	-4.763521026E-3	-1.559879261E-1	1.561225840E-1
2.872049083E0	8.618754758E-3	2.386413161E-3	-1.574848133E-1	1.577385315E-1
2.882089083E0	6.636827309E-3	-4.896906065E-4	-1.594307667E-1	1.595695981E-1
2.892130083E0	-2.623748446E-3	9.597519273E-4	-1.538922840E-1	1.539176412E-1
2.902170083E0	4.570450990E-3	1.692540525E-4	-1.630238807E-1	1.630880233E-1
2.912210083E0	1.419793039E-3	-2.225674116E-3	-1.576350868E-1	1.576571915E-1
2.922220083E0	1.095252014E-3	-7.154657640E-3	-1.480561781E-1	1.482329942E-1
2.932260083E0	-1.619929983E-3	-7.273452049E-3	-1.594325209E-1	1.596065662E-1
2.942300083E0	4.836567824E-3	-1.600193803E-2	-1.669181263E-1	1.677531380E-1
2.952341083E0	-1.118053871E-3	-6.403989354E-3	-1.565896046E-1	1.567244888E-1
2.962381083E0	-1.015116608E-2	-4.148786799E-3	-1.574877369E-1	1.578690783E-1
2.972421083E0	-5.267519038E-5	-2.548828712E-3	-1.441660255E-1	1.441885648E-1
2.982431083E0	2.362697676E-3	-6.657237746E-4	-1.453629506E-1	1.453836749E-1
2.992471083E0	4.579358858E-3	-1.194988154E-3	-1.544933778E-1	1.545658510E-1
3.002512083E0	1.041697457E-3	4.918412855E-3	-1.604803419E-1	1.605590734E-1
3.012552083E0	7.264937041E-4	4.195176233E-3	-1.550915480E-1	1.551499776E-1
3.022592083E0	-6.202159915E-5	9.774580272E-4	-1.504517823E-1	1.504549703E-1
