"Time (s)"	"Sound pressure level (dB)"
3.843065642E1	-6.925600674E1
3.854159071E1	-6.885719260E1
3.864934275E1	-6.925159113E1
3.875831058E1	-6.814536199E1
3.886770492E1	-7.087231348E1
3.899164167E1	-6.816597991E1
3.910013837E1	-7.011265936E1
3.920845808E1	-7.106741370E1
3.931788437E1	-6.924578094E1
3.942501142E1	-6.928814840E1
3.952852637E1	-6.879093980E1
3.963971804E1	-6.949110961E1
3.974966096E1	-6.857625244E1
3.985824788E1	-6.909656062E1
3.996860404E1	-7.041144930E1
4.008004533E1	-7.085811184E1
4.019161021E1	-6.874637626E1
4.029827696E1	-6.876167880E1
4.040224725E1	-6.759762507E1
4.052313021E1	-7.151911980E1
4.063224704E1	-6.960008458E1
4.074178521E1	-6.996157040E1
4.085109683E1	-6.667100508E1
4.097220712E1	-7.146726675E1
4.107860642E1	-6.848194415E1
4.118778371E1	-6.902989182E1
4.129653617E1	-7.043348883E1
4.140778808E1	-6.805717688E1
4.151781100E1	-7.083169583E1
4.162514596E1	-7.087220766E1
4.173740396E1	-7.012689202E1
4.184960642E1	-7.045308849E1
4.195837725E1	-7.054845549E1
4.206766979E1	-7.071928176E1
4.217503446E1	-6.943245667E1
4.228666642E1	-6.820306052E1
4.240843396E1	-6.906041497E1
4.252157808E1	-6.948527200E1
4.263020588E1	-6.953079706E1
4.274188021E1	-6.934924037E1
4.285008925E1	-6.852770306E1
4.295849013E1	-7.036922138E1
4.307147458E1	-7.011165598E1
4.317639183E1	-7.111465405E1
4.328068171E1	-6.979254619E1
4.339886817E1	-6.985491511E1
4.350849233E1	-6.862926489E1
4.361896596E1	-7.013482675E1
4.372808475E1	-7.064181697E1
4.383776567E1	-7.125518559E1
4.394989175E1	-6.912162523E1
4.406035350E1	-6.942753248E1
4.417140021E1	-7.146832385E1
4.427823821E1	-6.944346627E1
4.438138375E1	-7.116300614E1
4.449639421E1	-7.066572005E1
4.460559750E1	-7.192928382E1
4.471781854E1	-7.255045064E1
4.482535254E1	-7.064535282E1
4.493785562E1	-7.139662838E1
4.504974000E1	-7.046931198E1
4.515875358E1	-7.204407566E1
4.527162079E1	-6.970278983E1
4.537545212E1	-7.084216288E1
4.547941421E1	NaN
4.558610867E1	-6.919649660E1
4.569202621E1	-7.206561757E1
4.579950513E1	-6.976839917E1
4.590882008E1	-7.126119090E1
4.602084525E1	-7.079267313E1
4.612545129E1	-7.071520753E1
4.623490758E1	-7.021047448E1
4.634214758E1	-7.151712403E1
4.645123112E1	-7.062170070E1
4.655904762E1	-7.082515109E1
4.666891421E1	-6.989853132E1
4.678040571E1	-7.007797308E1
4.689217271E1	-7.105259238E1
4.699773987E1	-7.131728220E1
4.710890358E1	-6.805758212E1
4.721851483E1	-7.104530146E1
4.732960829E1	-6.848414196E1
4.743936683E1	-7.024518652E1
4.755028046E1	-7.105922656E1
4.766012400E1	-7.105445653E1
4.776985517E1	-6.804661773E1
4.787689175E1	-6.549119989E1
4.798052717E1	-6.732737634E1
4.809648887E1	-6.951807828E1
4.821100954E1	-6.722541853E1
4.832176275E1	-6.779890327E1
4.842947104E1	-6.658114391E1
4.853832362E1	-6.690678657E1
4.864736796E1	-6.891791184E1
4.875881246E1	-6.944077987E1
4.886779300E1	-6.742679741E1
4.897561012E1	-6.727947085E1
4.908483212E1	-6.801637462E1
4.918741958E1	-6.835432492E1
4.930820287E1	-7.038811813E1
4.942032125E1	-6.810152588E1
4.952760158E1	-7.069639292E1
4.963780808E1	-7.160749834E1
4.974989888E1	-7.059862536E1
4.986075221E1	-6.826919336E1
4.997174233E1	-6.900687662E1
5.007691613E1	-7.065453565E1
5.018106696E1	-7.037210519E1
5.030054946E1	-7.134774706E1
5.041458033E1	-6.977466263E1
5.052561029E1	-6.950366681E1
5.062830225E1	-7.032405713E1
5.074112529E1	-6.724112866E1
5.084782600E1	-6.869961816E1
5.095918275E1	-7.007857633E1
5.107180767E1	-7.020958543E1
5.119229779E1	-7.092769743E1
5.130351596E1	-6.960121194E1
5.140899946E1	-6.870808600E1
5.151836867E1	-7.010561651E1
5.162817492E1	-7.100772866E1
5.174125812E1	-7.039424862E1
5.184772692E1	-6.846475763E1
5.195921092E1	-6.842742477E1
5.207152825E1	-6.978253793E1
5.217583675E1	-7.065532387E1
5.228481800E1	-7.083951991E1
5.238796196E1	-7.048883297E1
5.250906579E1	-6.634319519E1
5.261585038E1	-6.962591960E1
5.272785792E1	-6.965476534E1
