"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.932659875E0	3.226665473E-3	-9.002912259E-3	-1.535303414E-1	1.538279218E-1
1.942699875E0	-2.188531734E-4	-4.275950035E-3	-1.623625606E-1	1.624190036E-1
1.952739875E0	-4.390722770E-3	-2.947343867E-3	-1.560756344E-1	1.561651975E-1
1.962779875E0	-4.851909913E-3	4.740356002E-3	-1.605662960E-1	1.607095125E-1
1.972789875E0	-1.596977092E-3	8.080486581E-4	-1.554780489E-1	1.554883500E-1
1.982829875E0	4.271641711E-3	-1.086502204E-2	-1.578730685E-1	1.583041420E-1
1.992870875E0	5.617184818E-3	-7.259793319E-3	-1.684997982E-1	1.687496351E-1
2.002910875E0	-5.072194056E-4	1.854124675E-3	-1.514352840E-1	1.514474836E-1
2.012950875E0	-1.281152073E-3	5.344355106E-4	-1.502377743E-1	1.502441872E-1
2.022991875E0	-5.886128187E-3	-8.415696491E-4	-1.524831051E-1	1.525989911E-1
2.033000875E0	2.047076795E-3	2.747643180E-4	-1.515843880E-1	1.515984588E-1
2.043041875E0	5.868838930E-3	-8.048582710E-3	-1.584688997E-1	1.587816587E-1
2.053081875E0	5.161129406E-3	-5.912594832E-3	-1.496378499E-1	1.498435256E-1
2.063121875E0	1.004454805E-2	-1.164198909E-3	-1.527818978E-1	1.531161539E-1
2.073161875E0	1.910686493E-3	-6.629701015E-3	-1.601172298E-1	1.602658134E-1
2.083202875E0	4.720642777E-3	1.396561777E-3	-1.565247005E-1	1.566020968E-1
2.093212875E0	-5.964750397E-3	-1.122939494E-4	-1.593682015E-1	1.594798248E-1
2.103252875E0	-2.460614556E-3	-6.537561687E-3	-1.538303035E-1	1.539888198E-1
2.113292875E0	-9.295565402E-4	2.267257869E-3	-1.562247384E-1	1.562439548E-1
2.123332875E0	-2.917209579E-4	1.580913523E-3	-1.411067623E-1	1.411159196E-1
2.133373875E0	4.484164017E-3	-5.731541282E-3	-1.569737667E-1	1.571423613E-1
2.143382875E0	-1.577444023E-3	-1.175262937E-3	-1.530812752E-1	1.530939137E-1
2.153423875E0	-5.960948565E-3	-5.223518740E-3	-1.460459054E-1	1.462608099E-1
2.163463875E0	-6.077663900E-4	1.851420337E-3	-1.469446224E-1	1.469575421E-1
2.173503875E0	2.103330550E-3	-7.779135704E-3	-1.604160225E-1	1.606183029E-1
2.183544875E0	-1.176747011E-3	-7.601234168E-3	-1.461955941E-1	1.463977979E-1
2.193584875E0	1.902470413E-3	-2.659615176E-3	-1.541296810E-1	1.541643652E-1
2.203594875E0	-6.407504536E-3	-5.473788707E-3	-1.593687862E-1	1.595914424E-1
2.213634875E0	8.878640083E-4	-3.066188525E-3	-1.542793697E-1	1.543123901E-1
